"","P1","P10","P2","P3","P4","P5","P6","P7","P8","P9"
"ENSMUSG00000038403",0,1,0,0,1,1,1,0,0,0
"ENSMUSG00000038406",883,1632,1241,1182,1706,1318,1352,1161,1138,1002
"ENSMUSG00000038408",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038412",407,109,541,162,144,223,73,48,55,90
"ENSMUSG00000038415",521,36,835,196,145,182,40,5,11,22
"ENSMUSG00000038416",305,659,412,605,730,659,648,568,623,522
"ENSMUSG00000038417",301,324,321,242,304,311,246,245,259,256
"ENSMUSG00000038418",308,531,154,285,389,256,652,290,280,419
"ENSMUSG00000038421",390,156,10,164,118,333,18,43,67,164
"ENSMUSG00000038422",460,29,930,132,110,179,36,15,33,11
"ENSMUSG00000038425",72.004790886489,124.004994910786,55,102,110,119,114,95,73.0025435631659,81.0012946165724
"ENSMUSG00000038429",744,849,1102,689,953,900,690,538,658,536
"ENSMUSG00000038437",1087,1386,786,921,1099,855,934,929,933,956
"ENSMUSG00000038446",458,402.000272069153,503.14554182823,334,434,335,275,288,312.011818688227,327.001755166805
"ENSMUSG00000038451",91,132,181,129,171,168,121,111,156,92
"ENSMUSG00000038453",7,13.5802484964802,6,16,26,14.1154751863756,16,13,17,9
"ENSMUSG00000038456",18,65.0061228136983,22.0655309876307,40.0227031853978,39.0156963238121,65,33.0111917638265,29,40,47.1256844473597
"ENSMUSG00000038457",18,38,1,19,29,19,29,11,6,18
"ENSMUSG00000038459",843,593,1574,650,779,742,602,462,511,527
"ENSMUSG00000038462",2597,736,3959,1113,1161,1412,773,542,701,615
"ENSMUSG00000038463",25,87,19,81,76,69,82,66,92,74
"ENSMUSG00000038467",1685,1415,3135,1539,1918,2113,1478,1122,1348,1140
"ENSMUSG00000038473",22,6,20,9,15.6658865310885,5,3,12,4.00136655612923,10
"ENSMUSG00000038481",346,222,239,222,218,239,147,148,152,183
"ENSMUSG00000038482",646,711,1040,613,763,672,614,573,548,497
"ENSMUSG00000038485",362,1048,454,823,1124,567,857,824,939,842
"ENSMUSG00000038486",87,1565,326,1231,1961,1569,1414,1295,1518,1042
"ENSMUSG00000038489",205.182080569022,238.055676402911,288.52986857604,212.139422850085,304.809010286249,335.723745191176,319.650343440225,174.301743080082,209.788101746147,207.87584752491
"ENSMUSG00000038491",0,0,1,0,2,1,0,0,0,0
"ENSMUSG00000038495",407.468771020804,863.437433505623,533.649828978933,678.290328434448,897.818663935623,553.26706689072,610.388670468031,586.686102023342,767.156560890842,607.142497311605
"ENSMUSG00000038496",303,10,259,89,75,58,9,1,12,1
"ENSMUSG00000038497",244.470006060993,834.056374488551,439.365028847382,728,1027.9467080314,748,827,682.12223875489,822,540
"ENSMUSG00000038498",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038500",108,161,98,133,175,187,168,119,128,131
"ENSMUSG00000038502",415,1605,775,1069,1645,1553,1534,1256,1269,1141.65446134382
"ENSMUSG00000038503",377,574,500,478,715,635,523,440,568,465
"ENSMUSG00000038506",165,342,241,300,407,301,253,224,257.00883129135,187
"ENSMUSG00000038507",503,457,2088,729,630,614,346,317,376,294
"ENSMUSG00000038508",12,8,9,10,11,15,25,4,5,2
"ENSMUSG00000038510",108,110,139,100,108,135,87,54,98,81
"ENSMUSG00000038515",255,413,570,340,485,374,313,280,308,193
"ENSMUSG00000038517",46,76,25,49,86,91,82,61,62,70
"ENSMUSG00000038518",438,351,607,348.010391821738,441,364,305,260,308,259
"ENSMUSG00000038520",280,572.002019469907,429,421,712,608.562648354326,561,451,476.008107394109,463
"ENSMUSG00000038521",545.892867510565,268.978772148839,44,117.981135089831,199,354,118,112.980311548744,79.9459074578033,239
"ENSMUSG00000038522",6.01108191069371,19,13.0434932724123,33,38,37,32,26,29,28
"ENSMUSG00000038523",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000038524",72.0005715455659,169,70.0001569648386,136.008275481043,150.004756015385,105.005972447883,96,100.031520876249,104.005816994556,110
"ENSMUSG00000038525",291,701,445,645,776,779,677,581,677,601
"ENSMUSG00000038526",1,0,0,0,1,0,0,0,0,0
"ENSMUSG00000038527",76,113.416689313045,33,51,94.6308438832983,61,74,77,77,138
"ENSMUSG00000038528",18.7668620219126,6,39.4891478598845,9.43961609031879,13.5686510942823,16.809081793689,17.5296084339068,10.8810584000312,7.33913381662344,7.81480406500993
"ENSMUSG00000038530",59,617.02259544452,109.625186554765,295.010048207013,424,316,877.003245093555,459.001441759397,560,1238.00399820271
"ENSMUSG00000038533",237,564.205050756539,391.392272234135,467.91697051822,625,366.605557838014,429,470.790056913185,493.561575513637,435
"ENSMUSG00000038534",198,209.327427471506,290.124020948336,172.027378526109,245.000361140561,207.026159388828,176,174.112622945849,182,150.00312744369
"ENSMUSG00000038535",229.013753338998,421.000364896489,297.013833604538,349.000817611543,450.076677753656,295.221946882335,361.00462711993,348,399.002242991132,350.000778636415
"ENSMUSG00000038537",0,0,0,0,0,0,0,0,0,0
